sku	fnsku	asin	product-name	condition	your-price	mfn-listing-exists	mfn-fulfillable-quantity	afn-listing-exists	afn-warehouse-quantity	afn-fulfillable-quantity	afn-unsellable-quantity	afn-reserved-quantity	afn-total-quantity	per-unit-volume	afn-inbound-working-quantity	afn-inbound-shipped-quantity	afn-inbound-receiving-quantity	afn-researching-quantity	afn-reserved-future-supply	afn-future-supply-buyable
029-DeseretIndust-7.25.24-Jim-977	X004C239NN	1493038710	Hiking Yellowstone National Park: A Guide To More Than 100 Great Hikes (Regional Hiking Series)	UsedGood	22.04	No		Yes	0	0	0	0	3	0.03	3	0	0	0	0	0
029-DeseretIndust-8.19.24-Jim-577	X004D51DCN	039324010X	Broadway: A History of New York City in Thirteen Miles	UsedGood	25.00	No		Yes	1	1	0	0	1	0.05	0	0	0	0	0	0
029-DeseretIndust-8.7.24-Jim-113	X004CLMGIX	0316102253	Moon Boy, Vol. 9 (Volume 9) (Moon Boy, 9)	UsedGood	21.36	No		Yes	0	0	0	0	0	0.02	0	0	0	0	0	0
029-NPS-7.12.24-Jim-420	X004BI0FFN	0979553709	Emotion Code: How to Release Your Trapped Emotions for Abundant Health, Love and Happiness	UsedGood	16.50	No		Yes	1	1	0	0	1	0.02	0	0	0	0	0	0
029-NPSAuction-8.29.24-Jim-097	X004DNDTQX	0133822524	Contract Law for Paralegals: Traditional and e-Contracts	UsedLikeNew	218.47	No		Yes	1	1	0	0	1	0.04	0	0	0	0	0	0
030-DeseretIndust-5.28.24-Jim-374	X0049B4F6H	0345496590	Kitchen Princess 2	UsedAcceptable	13.90	No		Yes	1	1	0	0	1	0.02	0	0	0	0	0	0
030-DeseretIndust-6.1.24-Jim-594	X0049I51M7	1506332358	Visible Learning for Literacy, Grades K-12: Implementing the Practices That Work Best to Accelerate Student Learning (Corwin Literacy)	UsedGood	14.12	No		Yes	0	0	0	0	0	0.02	0	0	0	0	0	0
030-DeseretIndust-6.20.24-Jim-091	X004ADVO59	1849054932	Starving the Anger Gremlin for Children Aged 5-9 (Gremlin and Thief CBT Workbooks)	UsedGood	16.30	No		Yes	1	1	0	0	1	0.02	0	0	0	0	0	0
030-DeseretIndust-6.4.24-Jim-125	X0049M8G9D	0385544235	My Sister, the Serial Killer: A Novel	UsedGood	13.98	No		Yes	0	0	0	0	0	0.03	0	0	0	0	0	0
030-DeseretIndust-7.12.24-Jim-231	X004BI0FPN	0593329732	Uncommon Sense Teaching: Practical Insights in Brain Science to Help Students Learn	UsedGood	13.18	No		Yes	0	0	0	0	0	0.03	0	0	0	0	0	0
030-DeseretIndust-7.25.24-Jim-341	X004C20MQ5	1622957911	A Boy, a Burrito, and a Cookie: From Janitor to Executive	UsedGood	34.00	No		Yes	0	0	0	0	3	0.01	3	0	0	0	0	0
030-DeseretIndust-8.19.24-Jim-122	X004D51E6N	0850527910	A Military Atlas of the First World War	UsedGood	14.99	No		Yes	1	0	0	1	1	0.04	0	0	0	0	0	0
030-DeseretIndust-8.7.24-Jim-248	X004CLMP0R	031607778X	Moon Boy, Vol. 7 (Moon Boy, 7) (Volume 7)	UsedAcceptable	22.78	No		Yes	1	1	0	0	1	0.02	0	0	0	0	0	0
030-NPSAuction-8.29.24-Jim-498	X004DN3J13	131923657X	1200 Update Ways of the World with Sources for the AP� Modern Course	UsedLikeNew	109.96	No		Yes	1	1	0	0	1	0.06	0	0	0	0	0	0
031-DeseretIndust-5.28.24-Jim-471	X0049B4G0H	1598166220	Good Witch of the West, The Volume 3	UsedGood	14.98	No		Yes	1	1	0	0	1	0.01	0	0	0	0	0	0
031-DeseretIndust-6.1.24-Jim-635	X0049IB2U7	0399166521	The Ends of the World (Conspiracy of Us)	UsedGood	16.97	No		Yes	1	1	0	0	1	0.03	0	0	0	0	0	0
031-DeseretIndust-6.1.24-Jim-696	X0049I51RH	1951097955	Facts About Cats and Dogs	UsedGood	52.18	No		Yes	0	0	0	0	0	0.01	0	0	0	0	0	0
031-DeseretIndust-6.4.24-Jim-201	X0049MGQN1	1423645529	Pizzazzerie: Entertain in Style: Tablescapes & Recipes for the Modern Hostess	UsedGood	33.26	No		Yes	1	1	0	0	1	0.04	0	0	0	0	0	0
031-DeseretIndust-6.4.24-Jim-326	X0049M9EU3	1423636120	The French Cook - Souffles: Souffles	UsedAcceptable	59.98	No		Yes	1	1	0	0	1	0.02	0	0	0	0	0	0
031-DeseretIndust-7.12.24-Jim-469	X004BI0FS5	0593135202	Project Hail Mary: A Novel	UsedGood	12.92	No		Yes	0	0	0	0	0	0.06	0	0	0	0	0	0
031-DeseretIndust-8.19.24-Jim-247	X004D4V91J	1250319854	5 Ingredients Mediterranean: Simple Incredible Food [American Measurements]	UsedGood	23.45	No		Yes	1	0	0	1	1	0.06	0	0	0	0	0	0
031-DeseretIndust-8.7.24-Jim-244	X004CLMTFX	0316102237	Moon Boy, Vol. 8 (Volume 8) (Moon Boy, 8)	UsedAcceptable	9.89	No		Yes	1	1	0	0	1	0.02	0	0	0	0	0	0
031-NPS-6.20.24-Jim-103	X004ADQVOD	082544859X	The Rare Jewel of Everleigh Wheaton (Treasures of Halstead Manor, 1)	UsedGood	14.98	No		Yes	8	8	0	0	8	0	0	0	0	0	0	0
031-NPSAuction-8.29.24-Jim-386	X004DNDMOR	1506281214	Anatomy Coloring Book with 450+ Realistic Medical Illustrations with Quizzes for Each + 96 Perforated Flashcards of Muscle Origin, Insertion, Action, and Innervation (Kaplan Test Prep)	UsedAcceptable	34.51	No		Yes	0	0	0	0	0	0.05	0	0	0	0	0	0
031-Thrift-6.26.24-Jim-092	X004AU9EVN	0593230256	Caste: The Origins of Our Discontents	UsedVeryGood	9.76	No		Yes	0	0	0	0	0	0.05	0	0	0	0	0	0
